Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,6/5/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Bhutan,BTN,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.05155162,0.360237016,-43.16998318,10.7896829,47.97289276,7.182305434,19.92208069,7.901741975,9.053826214,3.270672469,-1.443755148,2.917204924,16.2621543,27.71864169,34.34947422,51.66770854,15.76655605,-9.842165685,-2.386910462,7.521285959,3.202966902,-2.400577733,3.871711052,-5.290830539,-3.176505894,-5.278638552,6.450965365,0.263572537,26.1406971,-19.67471406,1.037842564,-9.142770353,,
Botswana,BWA,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,28.43663633,18.32805368,13.74437983,6.474686216,8.361321317,3.64872259,23.02869751,35.00778163,7.826910902,8.806901308,9.430737321,17.73909777,15.18659395,-3.479301671,-0.260387078,3.508404766,-4.598818834,-0.897205479,6.84526609,10.88522675,13.47033689,12.94134653,-18.1935533,27.64853841,0.803306132,-4.344324198,7.345978463,-6.999482862,7.389013258,18.19076771,3.132851262,8.795732052,-11.78465657,-32.02892681,18.20090464,-0.81079789,16.78476894,39.66843488,1.154219754,-7.360131945,-8.3684007,-5.457448651,11.88241059,-8.817692241,-18.57586822,31.6732518,-5.346939179,-13.77226563,
Central African Republic,CAF,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.55536172,45.40797903,6.750181654,-24.82078544,13.71619802,9.989669682,-8.229295044,22.93529432,-52.05614316,1.952319333,-2.841008155,-11.99548202,-6.540998841,18.42218402,
Canada,CAN,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,,4.636385134,8.798188268,13.59031079,4.535820876,13.13053956,10.73538971,12.28840745,7.988180947,9.172773225,4.868107612,8.625524078,10.07787941,-4.512209692,-8.286947598,7.828118514,6.465346464,10.003014,3.81626005,1.082924285,1.703477564,-1.348056683,5.760573747,18.6523207,4.540196799,4.525617506,3.20193011,9.084118241,0.892645923,4.603181096,1.665931144,7.486025108,10.79439411,12.82353867,8.869027803,5.955018681,8.630818402,9.519735558,10.79228265,8.965365384,-2.693940739,1.200489256,-1.6917597,5.558725587,2.280533138,0.886689484,1.083611997,-4.553925352,-12.95027078,6.675847603,4.797253977,2.764197415,2.453413987,6.319079296,3.3988369,1.52524564,1.490838202,3.574121775,2.286555545,-8.980875727,2.729317641,3.200737349,5.420767429,
Central Europe and the Baltics,CEB,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.544723885,12.36138638,6.222091421,0.830485465,12.60166978,7.587867152,6.068245024,10.34535862,14.74249941,12.79600079,15.02923252,12.55192078,5.69472118,-10.25072103,13.57588527,9.070542755,3.497367877,5.229701437,6.259935081,6.023254987,7.079800704,7.585186404,5.197785217,4.242755935,-5.729994342,11.81412393,8.24980153,0.966580222,
Switzerland,CHE,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,,,,,,,,,,,3.887580018,6.366434615,7.85866643,1.030782073,-6.568832705,9.304412463,9.716710234,3.717100756,2.465424522,5.070422299,15.13868544,-1.960988482,-2.739926512,15.69462826,7.989973151,1.526708233,-2.360656599,7.596382466,5.783023304,1.947061017,-1.561213844,3.946371903,-0.604456531,1.336940255,2.776067244,3.018592388,14.78991521,2.627171851,3.319211032,12.13383541,0.100569746,-1.758832397,-1.177053764,9.840785871,6.473468985,6.431414569,11.28370785,4.163657556,-8.709296484,12.60579124,4.040600361,0.688025957,14.17196107,-5.034251057,4.023777218,5.977682925,-0.376952419,3.372864315,-0.678189142,-5.240192334,13.76643215,5.932572076,2.505167427,
Channel Islands,CHI,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,4.944576187,2.609283584,5.269265918,9.228659756,-0.844559146,4.010021612,3.270591918,2.031684932,3.565401187,2.073149759,0.816095209,-15.0952231,2.797857499,45.9187833,2.353407496,24.3411992,11.89344174,11.18188006,14.16430949,14.3198087,-8.910723438,4.697527111,0.029391585,2.262263169,12.32067148,10.09383317,6.74026828,11.55570207,16.11099337,8.617182881,12.43338564,13.92681611,3.534209216,11.62760173,10.9836199,11.78496976,12.59696999,6.428251422,6.994379495,6.071714246,7.61128847,3.24305535,7.010464588,15.0145102,3.273615524,5.224982433,6.75243561,-0.504192817,-4.20281597,1.868792132,5.192210482,0.323147095,3.060162542,0.461422331,-2.331673024,0.598357065,-0.961650528,4.885149554,-2.548880907,-0.910570304,-1.534795003,0.760497052,-0.318319279,
China,CHN,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,CIV,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.588525347,3.308716927,6.823129646,-7.000359205,-6.329380611,3.543013784,-13.05726817,12.35106044,5.62160348,5.722225569,-8.423449932,-5.625793571,18.82426997,-9.054527752,0.326099922,10.46495452,-12.83794442,5.748372811,1.662840061,-0.836820084,17.54018169,-3.717607717,9.762965365,-8.178441132,17.33096166,49.37565452,8.594739842,
